Contig	TXAS01	TXAS02	TXAS06	TXAS09	TXAS10	TXAS11	TXAS12	TXAS14	TXAS15	TXAS18	TXAS20	TXAS21	TXAS24	TXAS25	TXAS29	TXAS30	TXAS31	TXAS33	TXAS35	TXAS39	TXAS42	TXAS44	TXAS46	TXAS47	TXAS48	TXAS50	TXAS51	TXAS52	TXAS53	TXHC02	TXHC03	TXHC04	TXHC05	TXHC06	TXHC08	TXHC10	TXHC12	TXHC13	TXHC15	TXHC16	TXHC17	TXHC18	TXHC19	TXHC20	TXHC21	TXHC22	TXHC23	TXHC24	TXHC25	TXHC26	TXHC27	TXHC28	TXHC29	TXHC30	TXHC31	TXHC32	TXHC33	TXHC35
vOUT1304	215	273	98	1293	681	80	279	425	0	1483	23831	716	0	232	472	0	302	965	10	1138	148	675	2215	5011	7884	6	4660	2868	3248	1447	704	5717	7595	1481	1060	398	246	2082	310	0	1033	7252	4756	792	1643	529	902	1630	17	87	19	5337	511	2672	0	2	663	719
vOUT1305	1	1831	0	181	280	277	0	305	1	1912	4416	2507	940	630	1051	3	0	933	912	470	1079	5	3442	403	6406	0	276	6	2328	1018	543	328	8	2784	0	1231	2	316	0	0	860	2861	3389	2143	7323	3	2135	1271	0	6	178	3428	3	10	5056	3	2176	309
vOUT1306	587	734	1119	371	379	839	2483	427	10	2806	37983	3901	323	686	1267	5679	2085	1734	1421	577	3414	2932	602	4076	17223	202	3824	9560	10961	295	599	1334	1253	6156	364	393	175	1205	8561	5537	3320	6735	2141	917	661	732	1481	1001	994	565	38	1945	187	11424	3676	468	3785	1448
vOUT1307	10	273	85	63	6	444	21	37	1	116	483	239	2	8	47	25	9	3621	40	1267	63	35	1718	407	6232	1	65	327	737	244	76	563	723	299	1343	506	770	904	351	51	219	345	624	56	612	60	6260	317	484	50	2	406	36	235	125	73	2687	214
vOUT1308	1	0	202	203	378	0	0	113	0	209	2684	0	4	243	0	0	0	673	0	925	678	911	0	57	20452	0	132	199	0	73	0	0	1	291	423	0	0	1350	710	0	17	0	0	0	10657	0	0	6385	18	0	0	0	297	19	203	6	875	743
vOUT1309	41	9	67	360	163	20	28	4	0	84	2168	19	90	17	36	172	0	311	331	143	3	63	118	249	19483	0	155	9	531	149	90	769	328	1092	176	746	53	222	595	0	8558	130	204	75	1485	0	328	103	4831	801	25	279	799	254	0	0	569	460
vOUT131	0	3	0	7223	0	0	0	0	0	0	13140	0	34	171	127	0	0	0	0	0	0	2651	19	0	252	0	59	0	0	203	8	8834	0	12	3639	26415	0	882	1038	0	2776	2680	2811	0	34	0	3422	0	0	0	268	1429	0	0	12	0	467	2147
vOUT1310	0	0	34	0	26	102	54	0	0	507	0	0	26	0	13	0	0	50	575	371	0	165	4	0	14526	0	523	0	100	3	360	786	14	7698	0	563	0	23	0	0	0	1589	54	585	338	0	0	142	10	0	0	0	0	0	0	0	0	3
vOUT1311	557	0	0	9	0	467	240	215	1039	8309	0	2147	0	15	3	0	5	0	374	470	0	0	0	0	14634	0	533	0	4415	0	15	0	0	1008	0	5	0	0	2174	0	0	0	2	42	18381	0	20	1420	601	35	97	674	0	0	0	0	310	241
vOUT1312	108	103	199	127	132	156	1027	36	39	321	8959	554	581	252	82	819	139	660	630	518	35	245	986	563	18779	10	387	181	1607	412	828	618	1807	848	169	117	222	1079	742	527	3255	821	1231	381	2190	210	357	1047	808	4315	106	1644	2788	950	335	329	1411	291
vOUT1313	21	30	25	88	45	109	35	18	0	191	2790	162	0	19	61	3	33	31	4	159	10	23	525	363	6341	2	147	234	114	132	137	98	936	259	93	75	41	1889	28	0	238	1168	152	130	390	2374	111	125	29	15	0	721	202	2433	0	0	20	81
vOUT1314	60	153	231	14359	1153	1026	919	1525	116	1279	3536	3063	1307	1512	2106	3546	6091	1280	397	5525	1740	16060	5573	1669	17695	147	3865	35582	819	2026	1213	1521	4760	2439	7116	6974	3574	612	5202	241	855	2984	7549	1839	841	2353	6570	138	2171	5048	325	4000	6256	2165	3023	10708	2505	1302
