Contig,TXAS01,TXAS02,TXAS06,TXAS09,TXAS10,TXAS11,TXAS12,TXAS14,TXAS15,TXAS18,TXAS20,TXAS21,TXAS24,TXAS25,TXAS29,TXAS30,TXAS31,TXAS33,TXAS35,TXAS39,TXAS42,TXAS44,TXAS46,TXAS47,TXAS48,TXAS50,TXAS51,TXAS52,TXAS53,TXHC02,TXHC03,TXHC04,TXHC05,TXHC06,TXHC08,TXHC10,TXHC12,TXHC13,TXHC15,TXHC16,TXHC17,TXHC18,TXHC19,TXHC20,TXHC21,TXHC22,TXHC23,TXHC24,TXHC25,TXHC26,TXHC27,TXHC28,TXHC29,TXHC30,TXHC31,TXHC32,TXHC33,TXHC35
vOUT750,3,7,10,54,145,0,162,92,0,462,8494,528,7098,1924,5790,5433,1,68,347,1610,0,348,1494,151,596,0,881,1577,554,5257,131,675,1298,1698,218,341,944,366,25,0,1450,363,268,802,901,0,2014,2312,1714,372,442,3482,144,156,3,0,1215,66
vOUT751,571,2215,1184,16,57,2,47604,0,1819,6,1054,447,0,26,7116,60402,1910,0,0,1237,15478,0,1555,294,0,3592,0,180,0,0,6,163,2,4,0,0,864,7,3466,6267,450,105,8960,2017,0,8318,82,0,0,90713,11,4,2404,443,1874,90782,1900,0
vOUT752,0,57,3,127,4,0,2,0,70541,0,2,13,0,361,84,64296,4,0,0,12,3,12670,153,486,34,39047,245,7,59,2,0,2,3,3,4,27,20,0,0,324,337,466,9,235,0,49,101,2002,3758,4867,712,318,4359,2508,666,7831,953,23
vOUT753,0,0,0,91,0,50,0,6,0,490,96,221,384,0,0,6966,157,0,3,227,430,6,17,0,116,0,2,0,0,1544,0,368,0,299,0,9,0,0,0,0,0,0,1119,69,170,0,0,164,6,1,47,13,237,0,4,0,190,358
vOUT754,842,0,2,17,0,1355,0,144,0,494,2,1,87,740,239,1242,1086,771,214,1,1,1326,4089,5,416,0,59,0,531,265,489,225,2543,397,112,345,0,66,0,0,1,515,0,0,734,0,199,4520,321,0,385,4032,0,1,1,0,0,104
vOUT755,0,0,3,1,0,0,2,0,1,0,20,0,6,0,18,2049,0,1,0,0,0,0,5,0,1,0,4,0,27,2,0,16,3,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,12,0,22,19,13,2,0,0
vOUT756,1,2,1,6,8,1,1,6,158,0,10,6,50,0,3,7472,1,0,118,3,15,2,1,9,3,10,4,3,785,0,0,0,57,9,2,2,0,86,0,8,22,4,6,146,1,14,3,47,0,635,22,467,3,17,8,16,10,1
vOUT757,5,82,2,9,6,47,0,0,1,17,75,53,5,8,4,1644,0,41,42,53,9,4,14,23,93,0,22,4,25,18,18,6,16,67,17,78,2,0,21,0,20,61,107,83,11,1,58,52,7,1,6,25,50,157,12,5,10,6
vOUT758,172,0,228,20,2,4,0,1,206,0,358,0,10,68,2957,773,2512,0,18,436,20,12,35,276,612,23170,0,54,0,8,10,6,1,37,17,14,8,12,190,1645,0,74,203,446,2,438,61,3,26,707,1,4,64,737,0,1367,251,29
vOUT759,59,338,91,335,75,125,197,59,51,949,329,88,181,383,191,2979,207,279,219,345,382,318,389,243,145,548,184,217,176,215,172,367,216,914,16,163,85,589,258,110,116,317,507,84,1411,527,162,171,476,139,1602,257,922,235,265,249,231,252
vOUT76,42092,38658,58879,8413,81902,13482,107,47760,3,15629,1159,35173,5,3243,3262,1,1043,28703,403,40,2,18839,1684,0,22903,3,3585,0,9701,10403,170,3302,1449,44711,66265,66112,410,14847,21835,0,154,14054,33736,1,75,0,17714,18607,219,0,2074,39399,2736,13454,2987,491,17482,12471
vOUT760,1,7,26,0,19,4,23580,0,0,0,0,25,0,5,2535,19720,0,0,0,836,29,0,0,80,0,0,0,22,0,0,1,0,1,0,0,0,58,2,0,0,0,0,0,2311,0,0,0,0,0,1178,0,0,2480,288,0,26,2041,0
vOUT761,892,90,62,1,3,1,284,0,0,0,93,47,0,6,50,11497,0,7,0,31,2013,416,0,12,0,0,16,0,9,0,176,19,26,1,120,1010,24,11,0,34,7350,1048,0,3,0,80,0,98,0,258,0,0,99,11,88,305,35,19
vOUT762,0,27,0,0,0,1,0,0,6780,3,0,1,0,0,0,43735,0,0,0,5,0,150,7,91,0,8929,41,2,10,0,0,0,0,0,0,0,10,0,0,2607,96,218,1,8,0,13,2,320,993,1685,166,266,3504,64,378,23,409,13
vOUT763,0,4,112,7,3,1,222,14,0,23,13,45,9,18,5,1051,110,26,100,36,211,45,28,0,7,19,389,13,2,26,1,2,20,5,3,5,0,6,669,585,223,243,186,13,6,0,0,8,9,54,2,11,10,51,0,70,4,73
vOUT764,0,0,1,0,0,0,1975,0,0,0,0,0,0,1,136,839,93,0,0,0,15,0,2,0,0,118,0,4,0,0,0,0,0,0,0,0,5,0,8,47,0,0,0,1,0,174,0,0,0,4,0,0,0,0,11,37,165,0
vOUT765,15432,1739,7208,32195,7252,5858,54233,863,1,561,2,16804,31,18757,2012,282,13285,27443,1,13018,7500,4956,6171,10590,4019,87,55,211,806,13772,6041,11185,8093,1551,6605,1182,2052,6319,16685,6,11561,831,9807,13209,10378,9620,5697,115,62742,0,1622,487,3515,19391,82,2028,12857,163
vOUT766,22771,1553,3765,45,173,181,793,30110,0,47466,853,2460,106562,657,211,28,68325,300,6,43,757,113,29,125,4646,596,40,1201,1840,2660,191,675,1066,7180,2457,6985,2050,3061,2742,7382,94,399,117,1828,45,1309,175984,5199,23,124,22,3089,15670,242,6204,5,1010,23
vOUT767,12,132,69,166,2927,89,13,43,5,316,1787,69,87,204,76,40,27951,873,1330,2339,89,2312,4467,4827,1719,74,214,544,447,406,11223,289,1884,6939,186,688,977,854,334,30,2514,4550,28,66,700,32,674,1735,5803,1020,187,10932,104,21237,1004,23,2385,1058
vOUT768,11970,9448,13038,4109,15060,452,1323,6042,5,12312,619,11405,1,5099,1458,0,34308,154,2620,181,2,16256,210,0,5585,0,2181,0,2419,12515,42404,12968,29,3479,18560,70975,500,28917,8492,0,6,2507,2664,0,670,0,2805,4708,704,0,312,9239,205,64,287,18,8554,31640
vOUT769,9264,117,109,1201,179,37973,105,5647,23,11467,3648,1067,4827,23957,3409,13330,29165,29532,7724,673,115,20366,177223,516,18277,148,2371,520,44395,6186,8886,5682,41266,18658,3105,12665,129,3973,203,83,119,16391,251,303,17699,159,3481,165445,16008,67,8770,84091,1038,785,892,68,511,4787
vOUT77,1366,8,17175,6,0,8,1,1,5,95,29230,15053,0,11005,6740,0,2,38722,2,56,22,29758,1,1,58252,8,5944,28059,25,413,1364,3672,4289,13637,7,3896,9282,7653,62832,0,13686,7364,1520,23568,45,0,42472,373,480,2,10,1053,5,11251,1,8,34455,134
vOUT770,2892,4201,221,1077,1623,619,22,1854,0,9102,1906,4722,3151,4924,703,680,9360,5437,1239,975,518,1159,7763,5170,9925,390,563,3901,4537,2472,6452,8438,7914,2596,792,3995,577,6350,1206,9,131,4140,732,753,5247,527,20650,4668,17406,152,71,1567,1389,3866,1511,158,805,1466
vOUT771,948,0,11,82,5,4079,0,679,0,1637,133,363,251,3096,307,1476,13335,1974,901,14,2,2361,12996,157,1007,3,258,0,3146,708,895,713,3350,2107,393,1452,0,467,2,0,2,1281,188,7,2034,1,334,26082,2065,1,807,9307,18,5,1021,2,120,532
vOUT772,1,578,457,4935,665,676,17115,440,9,3131,686,1641,594,4850,4823,7978,8750,917,576,3079,385,1151,9202,3450,2132,5,241,2,911,3808,3,3269,8670,4442,749,124,3343,1592,13327,8,788,1394,4313,193,8499,6,3968,499,2222,22,1113,1241,593,1104,1616,38,919,232
vOUT773,24,382,253,3237,449,602,12249,365,824,2705,104,1226,379,2952,3172,4816,7399,735,378,1632,505,1038,7168,2303,1487,1,24,88,661,3253,17,2367,6275,3359,526,131,2114,1262,5532,42,678,1298,3501,174,4755,91,466,353,1583,88,815,603,534,931,1225,55,641,313
vOUT774,48,235,233,1128,359,973,3494,283,116,3184,514,2113,1372,1209,136,1210,8718,294,166,1452,770,363,1360,302,479,1210,117,861,343,3232,6495,713,3912,400,537,768,326,1247,414,503,382,1271,2204,303,611,1041,311,244,497,314,339,438,2480,542,1014,506,431,348
vOUT775,2304,682,467,41,529,161,2160,298,0,315,1326,1454,15,22,201,988,8990,1538,3820,1411,4678,97,726,1789,35,0,435,2640,157,428,773,32,1170,237,384,278,30,79,10473,715,340,298,2470,91,257,3840,375,91,509,13923,5,50,197,93,441,1203,1682,19
vOUT776,2142,0,6,157,217,6333,1,1033,0,3293,465,28,643,4238,523,2132,11601,5370,1513,18,9,3477,30744,15,3123,2,390,0,8137,955,1397,975,9881,3042,605,2417,0,752,0,0,6,2732,26,15,2286,0,180,19423,2515,0,1458,13674,11,1,34,2,4,660
vOUT777,6,0,97,381,0,4,5,656,0,77,11,4,0,537,2,0,9136,1814,3,3,0,609,51,0,2108,0,919,34502,85,3,17,1170,958,44,4,1,46,14,0,0,110,2007,3129,338,1138,0,0,3467,1674,0,16,1735,6,0,3038,4,887,337
vOUT778,3933,16278,10403,3153,6602,14830,15170,6594,78,1635,0,13946,4308,1391,897,3987,10005,862,1751,10244,3429,1584,753,2787,1395,108,1623,2,447,9274,4051,4420,17165,2474,9022,5695,7667,9298,2921,35560,7800,7640,8068,531,679,5871,1428,1925,2570,9188,1223,634,1117,2125,847,517,10008,812
vOUT779,823,881,135,7394,779,8834,27,6812,2,10381,19398,4689,12472,11663,587,510,32926,49110,3669,1997,235,8180,12227,4116,17816,2739,5261,539,12687,17558,7855,40414,12535,9979,11502,12756,370,15687,749,13,123,17742,949,2352,32267,40594,2638,6984,68618,483,1699,5265,8475,2507,1962,98,1567,1792
vOUT78,7935,9910,26865,293,12912,21401,7886,6304,13,4797,1909,13728,118,99,1441,1133,10427,10501,1443,9147,6142,2736,646,5794,4037,8,636,6627,1072,3213,6838,1760,5900,3287,9367,1548,1296,9605,655,180,6843,1787,8519,682,762,14580,1247,1270,9098,3701,117,946,312,1244,1124,2706,2561,3182
vOUT780,1626,134,368,1200,251,8,725,1438,0,2025,2308,0,211,650,0,0,5507,1727,1400,1535,0,1142,1189,0,629,189,0,1713,3051,1585,1341,1495,2510,1366,1213,324,123,1529,4161,3,4,924,765,0,1178,2595,2175,640,1211,0,3209,240,2392,1903,382,3351,5335,370
